#x_m,y_m,z_m
372.540900,-479.213630,24.509750
377.538099,-479.266648,24.491056
382.536185,-479.250587,24.475964
387.535243,-479.164016,24.464681
392.534301,-479.077445,24.453398
397.533358,-478.990875,24.442115
402.530864,-478.859135,24.428873
407.523044,-478.597000,24.415773
412.514469,-478.319871,24.402622
417.505893,-478.042743,24.389472
422.497139,-477.763037,24.376309
427.486180,-477.451651,24.362773
432.469767,-477.055678,24.341863
437.446218,-476.581818,24.321193
442.419713,-476.075396,24.295168
447.390432,-475.539247,24.265215
452.357819,-474.972266,24.243703
457.322472,-474.385576,24.227738
462.283108,-473.770807,24.219077
467.234242,-473.082326,24.224136
472.178507,-472.344134,24.237968
477.114712,-471.555539,24.260555
482.046652,-470.740263,24.287775
486.964670,-469.850635,24.325331
491.851597,-468.796935,24.385093
496.738524,-467.743234,24.444855
501.625451,-466.689533,24.504617
506.505957,-465.610639,24.562309
511.373010,-464.476845,24.618621
516.232079,-463.308454,24.676922
521.081804,-462.103872,24.736694
525.899442,-460.769333,24.803218
530.712430,-459.417273,24.868862
535.509662,-458.010391,24.922864
540.297828,-456.573124,24.968646
545.081856,-455.122167,25.011526
549.854229,-453.633531,25.047615
554.626602,-452.144895,25.083704
559.393501,-450.638093,25.120406
564.146046,-449.085402,25.152001
568.892065,-447.512511,25.171233
573.637499,-445.937808,25.188593
578.379272,-444.351830,25.195097
583.119125,-442.760110,25.195182
587.857265,-441.163323,25.189097
592.594670,-439.564373,25.180851
597.330870,-437.961853,25.169626
602.066630,-436.358031,25.157315
606.801381,-434.751254,25.140649
611.535534,-433.142712,25.121515
616.269687,-431.534170,25.102382
621.002980,-429.923122,25.082233
625.736685,-428.313336,25.059798
630.471097,-426.705688,25.034979
635.205839,-425.099415,24.993471
639.942548,-423.499249,24.939571
644.679294,-421.899204,24.885138
649.415513,-420.297733,24.826279
654.151423,-418.695367,24.766824
658.885316,-417.087019,24.708948
663.618152,-415.475611,24.650112
668.349763,-413.860662,24.589983
673.081374,-412.245712,24.529853
677.812985,-410.630763,24.469724
682.541313,-409.006140,24.419642
687.264257,-407.365745,24.381524
691.983371,-405.714459,24.341203
696.694775,-404.041498,24.300769
701.397554,-402.344428,24.265912
706.093804,-400.628912,24.237315
710.783476,-398.895560,24.210520
715.468968,-397.150974,24.184270
720.142375,-395.374608,24.162795
724.806314,-393.573322,24.144830
729.470254,-391.772036,24.126864
734.128040,-389.955303,24.112607
738.770835,-388.100769,24.103824
743.402522,-386.217898,24.100000
748.026416,-384.315431,24.100000
752.641410,-382.391904,24.100000
757.249245,-380.451350,24.100000
761.853734,-378.502834,24.100000
766.449967,-376.535178,24.105966
771.024861,-374.517855,24.126103
775.596618,-372.493446,24.151306
780.168329,-370.468930,24.176222
784.732719,-368.428073,24.180312
789.294265,-366.380898,24.177721
793.850109,-364.321038,24.167791
798.401015,-362.250364,24.154883
802.947000,-360.169037,24.143832
807.484247,-358.068513,24.129045
812.013538,-355.950802,24.117373
816.538642,-353.824083,24.109083
821.061592,-351.692773,24.103308
825.582588,-349.557290,24.100000
830.097747,-347.409480,24.102406
