#x_m,y_m,z_m
209.728381,174.862128,14.200000
212.424209,170.651130,14.200000
215.120591,166.440486,14.200000
217.816972,162.229842,14.200000
220.513353,158.019198,14.200000
223.209734,153.808554,14.200000
225.906115,149.597910,14.200000
228.602420,145.387217,14.200000
231.297572,141.175787,14.200000
233.986144,136.960158,14.200000
236.671925,132.742748,14.200000
239.357707,128.525339,14.200000
242.043488,124.307929,14.200000
244.727328,120.089283,14.200000
247.413405,115.872063,14.200000
250.104360,111.657960,14.200000
252.796374,107.444534,14.200000
255.488388,103.231108,14.200000
258.181669,99.018489,14.200000
260.877675,94.807611,14.200000
263.571860,90.595571,14.200000
266.264241,86.382377,14.200000
268.957956,82.170046,14.200000
271.648790,77.955868,14.200000
274.336717,73.739823,14.200000
277.027193,69.525406,14.200000
279.721239,65.313271,14.200000
282.415472,61.101259,14.200000
285.108949,56.888762,14.200000
287.801534,52.675696,14.200000
290.493978,48.462540,14.200000
293.185978,44.249101,14.200000
295.875499,40.034075,14.200000
298.564939,35.818997,14.200000
301.251902,31.602349,14.200000
