#x_m,y_m,z_m
-591.364305,-122.170582,80.117320
-592.415153,-117.282390,80.143410
-593.468720,-112.394802,80.173900
-594.532347,-107.509398,80.211675
-595.594382,-102.623635,80.245591
-596.655420,-97.737646,80.276634
-597.715659,-92.851623,80.321827
-598.774548,-87.965434,80.378809
-599.826603,-83.078044,80.455821
-600.879433,-78.190834,80.533707
-601.929379,-73.303061,80.614757
-602.986123,-68.417054,80.712719
-604.043990,-63.531309,80.811716
-605.097119,-58.645137,80.935649
-606.148177,-53.758995,81.078152
-607.192176,-48.871725,81.233902
-608.233341,-43.983941,81.392465
-609.255023,-39.092693,81.565340
-610.256662,-34.197994,81.757423
-611.244323,-29.300961,81.964858
-612.233729,-24.404791,82.183883
-613.225558,-19.509207,82.405025
-614.210808,-14.612430,82.629133
-615.178542,-9.712391,82.855851
-616.138786,-4.810944,83.083442
-617.080300,0.093629,83.317989
-617.972768,5.007012,83.554675
-618.809679,9.929870,83.795152
-619.621381,14.857214,84.035799
-620.429936,19.785122,84.275991
-621.206879,24.718280,84.512479
-621.875194,29.664236,84.749010
-622.346925,34.627714,84.988025
-622.590560,39.608295,85.230313
-622.800234,44.589778,85.470967
-622.926307,49.573220,85.706965
-622.955173,54.552894,85.944103
-622.412427,59.494315,86.191882
-621.869680,64.435737,86.439661
-621.047746,69.344657,86.695773
-620.093700,74.236549,86.952347
-619.055373,79.115516,87.208305
-617.800733,83.943922,87.461550
-616.486918,88.755702,87.713261
-615.054125,93.533364,87.958846
-613.451295,98.254253,88.204654
-611.579483,102.879756,88.457815
-609.643821,107.480755,88.712422
-607.632895,112.049892,88.964415
-605.566417,116.595147,89.214235
-603.494639,121.137859,89.465642
-601.362930,125.653325,89.710269
-599.233797,130.170830,89.946249
-597.093413,134.683144,90.182237
-594.957519,139.197476,90.417985
-592.974603,143.777472,90.649299
-591.088393,148.397199,90.870044
-589.423019,153.095975,91.069238
-588.039578,157.864082,91.256050
-587.106235,162.706820,91.345125
-586.624887,167.618610,91.436291
-586.926022,172.503787,91.562175
-587.943783,177.213478,91.681181
-589.868172,181.636991,91.786059
-592.724481,185.488437,91.877823
-596.290637,188.644429,91.921264
-600.532149,190.831247,91.977886
-605.164904,191.910654,92.062573
-609.914674,192.264656,92.151025
-614.638643,191.483972,92.260056
-619.177452,189.737269,92.322384
-623.326031,187.221385,92.421494
-627.103863,184.096891,92.513651
-630.421913,180.440039,92.573661
-633.427121,176.510065,92.614449
-636.124523,172.320790,92.630206
-638.714285,168.059165,92.641919
-641.056616,163.643127,92.616963
-643.395407,159.224449,92.600000
-645.696897,154.785745,92.600000
-648.020104,150.358574,92.602799
-650.376882,145.949343,92.612446
-652.756772,141.552584,92.634521
-655.178627,137.178701,92.663128
-657.639106,132.826800,92.681995
-660.142004,128.498941,92.704588
-662.664712,124.182702,92.733715
-665.236214,119.895790,92.766022
-667.873786,115.648633,92.784105
-670.522274,111.408363,92.815324
-673.218735,107.198107,92.842804
-675.924836,102.993919,92.867089
-678.647501,98.800365,92.892494
-681.378929,94.612580,92.919307
-684.114455,90.427530,92.953464
-686.868068,86.254319,92.991473
-689.640620,82.093689,93.029617
-692.419523,77.937315,93.068219
-695.236654,73.807257,93.104938
-698.092370,69.703903,93.138580
-700.974237,65.618441,93.168264
-703.920782,61.581386,93.188314
-706.944005,57.602316,93.213666
-710.000931,53.649033,93.240444
-713.117662,49.745863,93.262000
-716.441347,46.015424,93.296338
-719.832232,42.344913,93.339121
-723.269230,38.717362,93.387014
-726.787125,35.173357,93.428250
-730.336410,31.660597,93.468245
-734.067770,28.337447,93.503553
-737.879687,25.106309,93.532110
-741.714590,21.903208,93.559755
-745.684724,18.874164,93.589047
-749.752742,15.970774,93.627594
-753.886456,13.174088,93.666917
-758.086927,10.488456,93.707939
-762.384348,7.965441,93.751849
-766.718187,5.504014,93.796226
-771.133900,3.177700,93.850206
-775.675176,1.098525,93.907070
-780.283019,-0.825539,93.969459
-784.973507,-2.505244,94.013927
-789.732643,-3.990636,94.047066
-794.572514,-5.207468,94.059559
-799.442554,-6.311315,94.070139
-804.335512,-7.297287,94.080719
-809.243561,-8.214340,94.086729
-814.182647,-8.984599,94.083073
-819.134440,-9.661723,94.055220
-824.093974,-10.272930,94.018152
-829.067968,-10.736089,93.957848
-834.050317,-11.120027,93.874748
-839.032890,-11.502141,93.791184
-844.022425,-11.776934,93.688949
-849.017125,-11.958813,93.583223
-854.012160,-12.136064,93.476368
-859.007292,-12.269131,93.366869
-864.002515,-12.360972,93.254903
-868.995030,-12.253407,93.119450
-873.987717,-12.105023,92.982264
-878.980403,-11.956640,92.845078
-883.970600,-11.754382,92.697649
-888.939290,-11.344873,92.516557
-893.900682,-10.867716,92.325711
-898.860132,-10.373111,92.131414
-903.811352,-9.782367,91.921571
-908.744795,-9.013236,91.689053
-913.673319,-8.208845,91.477477
-918.581534,-7.299764,91.236194
-923.482153,-6.345919,90.985704
-928.363907,-5.306734,90.743654
-933.210822,-4.107663,90.514628
-938.052556,-2.883429,90.287858
-942.888170,-1.635299,90.063754
