# x_m,y_m
584.394202,167.855991
588.707162,165.328061
592.978991,162.731153
597.210343,160.068794
601.402062,157.344446
605.555091,154.561455
609.670469,151.723074
613.749316,148.832436
617.792815,145.892551
621.802172,142.906264
625.778400,139.876073
629.723167,136.805128
633.641548,133.700543
637.539542,130.570337
641.419227,127.417454
645.280391,124.241917
649.122485,121.043334
652.945027,117.821406
656.747615,114.575953
660.529856,111.306808
664.291344,108.013804
668.031668,104.696782
671.750412,101.355582
675.447150,97.990054
679.121447,94.600039
682.772917,91.185448
686.401326,87.746362
690.006501,84.282930
693.588269,80.795294
697.146444,77.283598
700.680865,73.747996
704.191308,70.188578
707.677685,66.605629
711.138827,62.998274
714.570068,59.362470
717.965126,55.692854
721.317180,51.983892
724.619233,48.230441
727.870981,44.433226
731.078967,40.598878
734.250299,36.734239
737.391295,32.844971
740.503234,28.932440
743.582536,24.994160
746.625337,21.027578
749.627648,17.030256
752.585813,13.000159
755.497054,8.936039
758.358723,4.836857
761.168059,0.701642
763.923889,-3.469413
766.627354,-7.674604
769.279922,-11.912090
771.883029,-16.180142
774.438269,-20.477027
776.947636,-24.800861
779.413264,-29.149786
781.837335,-33.522011
784.221610,-37.916065
786.566991,-42.331007
788.874091,-46.766078
791.143577,-51.220514
793.376121,-55.693580
795.572412,-60.184559
797.733154,-64.692750
799.859063,-69.217472
801.950879,-73.758057
804.009389,-78.313838
806.035403,-82.884163
808.029738,-87.468400
809.993225,-92.065935
811.926702,-96.676171
813.831018,-101.298530
815.707029,-105.932450
817.555598,-110.577385
819.377597,-115.232808
821.173904,-119.898205
822.945402,-124.573078
824.692981,-129.256947
826.417534,-133.949342
828.119960,-138.649811
829.801164,-143.357912
831.462032,-148.073226
833.103307,-152.795395
834.725589,-157.524124
836.329470,-162.259125
837.915451,-167.000153
839.483823,-171.747034
841.034762,-176.499640
842.568950,-181.257680
844.088350,-186.020464
845.595534,-190.787128
847.093169,-195.556802
848.583858,-200.328651
850.069675,-205.102019
851.551497,-209.876630
853.029664,-214.652373
854.504430,-219.429168
855.975921,-224.206972
857.443987,-228.985830
858.908375,-233.765817
860.368823,-238.547008
861.825065,-243.329483
863.276839,-248.113315
864.723878,-252.898582
866.165920,-257.685357
867.602699,-262.473715
869.033949,-267.263727
870.459405,-272.055468
871.878801,-276.849006
873.291871,-281.644414
874.698349,-286.441759
876.097968,-291.241109
877.487709,-296.043322
878.844309,-300.854961
880.108800,-305.691550
