# x_m,y_m,kappa_radpm
151.163637,442.032425,-0.00636709
154.504688,445.749623,-0.00715803
157.976459,449.345047,-0.00791601
161.587381,452.800679,-0.00855966
165.342504,456.099124,-0.00908816
169.243475,459.223898,-0.00956739
173.289410,462.158717,-0.01004198
177.477522,464.887021,-0.01049128
181.803087,467.392358,-0.01090691
186.259436,469.658243,-0.01140402
190.838484,471.665713,-0.01216359
195.530997,473.390137,-0.01316280
200.325457,474.802597,-0.01402065
205.206010,475.878178,-0.01430799
210.151654,476.604725,-0.01405792
215.137875,476.982455,-0.01378776
220.139156,477.013977,-0.01396017
225.129760,476.694839,-0.01456557
230.082604,476.013408,-0.01523213
234.968555,474.958762,-0.01558576
239.757966,473.529107,-0.01547024
244.423673,471.735240,-0.01495251
248.943412,469.598592,-0.01421289
253.300570,467.146493,-0.01341922
257.483568,464.407591,-0.01267558
261.484400,461.408863,-0.01206420
265.296473,458.173873,-0.01167251
268.912299,454.721870,-0.01150364
272.322992,451.068555,-0.01135205
275.521600,447.229418,-0.01084837
278.509556,443.224293,-0.00971513
281.302053,439.079701,-0.00799405
283.928111,434.826823,-0.00600943
286.424994,430.496552,-0.00413381
288.830589,426.115108,-0.00258802
291.177921,421.702453,-0.00138794
293.493746,417.273326,-0.00039952
295.800634,412.839574,0.00056908
298.120661,408.412657,0.00168054
300.478626,404.005744,0.00301011
302.903404,399.635082,0.00453609
305.427178,395.320594,0.00618217
308.083367,391.086014,0.00787722
310.904449,386.959004,0.00958623
313.920296,382.971516,0.01130399
317.157036,379.160296,0.01304353
320.636263,375.567493,0.01484886
324.374289,372.242040,0.01682190
328.380627,369.242553,0.01908566
332.654597,366.639910,0.02159659
337.180232,364.514015,0.02392775
341.921800,362.940895,0.02541192
346.822964,361.975711,0.02575262
351.810870,361.643686,0.02534557
356.804246,361.943623,0.02470460
361.723459,362.855571,0.02382329
366.499804,364.343427,0.02241615
371.081216,366.354701,0.02053759
375.433108,368.825353,0.01859654
379.535620,371.690076,0.01689986
383.379666,374.890758,0.01547449
386.963232,378.378721,0.01426250
390.288087,382.113316,0.01327853
393.356854,386.060674,0.01255642
396.171017,390.192974,0.01205310
398.730608,394.487055,0.01166391
401.035297,398.922549,0.01130483
403.085658,403.480782,0.01095510
404.883309,408.144799,0.01068537
406.428569,412.899651,0.01071969
407.714809,417.732087,0.01133955
408.722899,422.629364,0.01247714
409.424219,427.577456,0.01343983
409.796093,432.559525,0.01338413
409.839087,437.556229,0.01217707
409.579998,442.548517,0.01049640
409.058316,447.521156,0.00906346
408.310121,452.464222,0.00809049
407.361579,457.371904,0.00742859
406.231020,462.240416,0.00691485
404.932669,467.066759,0.00647186
403.478833,471.848530,0.00605287
401.881073,476.584130,0.00562580
